DOMNAME/C-60	DDTEXT/C-120	DATATYPE/C-8	LENG/N-12	DECIMALS/N-12	OUTPUTLEN/N-12	LOWERCASE/C-2	SIGNFLAG/C-2	V_DOMVALUE_L/C-20	V_DDTEXT/C-120
ZD_TPTST_CHAR	char	CHAR	10		10	X			
ZD_TPTST_CURR	moeda	CURR	15	2	20		X		
ZD_TPTST_CUKY	cod.moeda	CUKY	3		5				
ZD_TPTST_QUAN	quantidade	QUAN	15	2	20		X		
ZD_TPTST_UNIT	un.quantidade	UNIT	3		5				
ZD_TPTST_DATS	data	DATS	8		10				
ZD_TPTST_TIMS	hora	TIMS	6		10				
ZD_TPTST_DEC	decimal	DEC	15	2	20		X		
ZD_TPTST_INT1	inteiro	INT1	3		3				
ZD_TPTST_NUMC	natural	NUMC	2		2			10	Texto 10
ZD_TPTST_NUMC	natural	NUMC	2		2			20	Texto 20
ZD_TPTST_NUMC	natural	NUMC	2		2			30	Texto 30
