TABNAME/C-60	DDTEXT/C-120	TABCLASS/C-16	FIELDNAME/C-60	ROLLNAME/C-60	REFTABLE/C-60	REFFIELD/C-60
ZTP_TPTST	Estrutura	INTTAB	CAMPO_CHAR	ZE_TPTST_CHAR		
ZTP_TPTST	Estrutura	INTTAB	CAMPO_CURR	ZE_TPTST_CURR	MSEG	WAERS
ZTP_TPTST	Estrutura	INTTAB	CAMPO_CUKY	ZE_TPTST_CUKY		
ZTP_TPTST	Estrutura	INTTAB	CAMPO_QUAN	ZE_TPTST_QUAN	MSEG	MEINS
ZTP_TPTST	Estrutura	INTTAB	CAMPO_UNIT	ZE_TPTST_UNIT		
ZTP_TPTST	Estrutura	INTTAB	CAMPO_DATS	ZE_TPTST_DATS		
ZTP_TPTST	Estrutura	INTTAB	CAMPO_TIMS	ZE_TPTST_TIMS		
ZTP_TPTST	Estrutura	INTTAB	CAMPO_DEC	ZE_TPTST_DEC		
ZTP_TPTST	Estrutura	INTTAB	CAMPO_INT1	ZE_TPTST_INT1		
ZTP_TPTST	Estrutura	INTTAB	CAMPO_NUMC	ZE_TPTST_NUMC		
ZTP_TPTST	Estrutura	INTTAB	CAMPO_DIRECT	ZE_TPTST_DIRECT		
