TABNAME/C-60	DDTEXT/C-120	FIELDNAME/C-60	ROLLNAME/C-60	DDTEXT_F/C-120	SCRTEXT_S/C-20	SCRTEXT_M/C-40	SCRTEXT_L/C-80	DATATYPE/C-8	LENG/N-12	DECIMALS/N-12	OUTPUTLEN/N-12	REFTABLE/C-60	REFFIELD/C-60
ZST_TPTST	ALV Teste TP	CAMPO_01	ZE_TPTST_CHAR	char	Coluna 1	Coluna 1	Coluna 1	CHAR	10		10		
ZST_TPTST	ALV Teste TP	CAMPO_02	ZE_TPTST_CUKY	cuky	Coluna 3	Coluna 3	Coluna 3	CUKY	3		5		
ZST_TPTST	ALV Teste TP	CAMPO_03	ZE_TPTST_CURR	curr	Coluna 2	Coluna 2	Coluna 2	CURR	15	2	20	ZST_TPTST	CAMPO_02
ZST_TPTST	ALV Teste TP	CAMPO_04	ZE_TPTST_UNIT	unit	Coluna 5	Coluna 5	Coluna 5	UNIT	3		5		
ZST_TPTST	ALV Teste TP	CAMPO_05	ZE_TPTST_QUAN	quan	Coluna 4	Coluna 4	Coluna 4	QUAN	15	2	20	ZST_TPTST	CAMPO_04
ZST_TPTST	ALV Teste TP	CAMPO_06	ZE_TPTST_DATS	dats	Coluna 6	Coluna 6	Coluna 6	DATS	8		10		
ZST_TPTST	ALV Teste TP	CAMPO_07	ZE_TPTST_TIMS	tims	Coluna 7	Coluna 7	Coluna 7	TIMS	6		10		
ZST_TPTST	ALV Teste TP	CAMPO_08	ZE_TPTST_DEC	dec	Coluna 8	Coluna 8	Coluna 8	DEC	15	2	20		
ZST_TPTST	ALV Teste TP	CAMPO_09	ZE_TPTST_INT	int	Coluna 9	Coluna 9	Coluna 9	INT1	3		3		
ZST_TPTST	ALV Teste TP	CAMPO_10	ZE_TPTST_NUMC	numc	Coluna 10	Coluna 10	Coluna 10	NUMC	2		2		
